EmployeeNumber,Age,Education,EducationField,Gender,JobRole,NumCompaniesWorked,Over18,TotalWorkingYears,EmployeeNumber_HASH
1,41,2,Life Sciences,Female,Sales Executive,8,Y,8,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b
2,49,1,Life Sciences,Male,Research Scientist,1,Y,10,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35
4,37,2,Other,Male,Technician,6,Y,7,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a
5,33,4,Life Sciences,Female,Research Scientist,1,Y,8,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d
7,27,1,Medical,Male,Technician,9,Y,6,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451
8,32,2,Life Sciences,Male,Technician,0,Y,8,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3
10,59,3,Medical,Female,Technician,4,Y,12,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5
11,30,1,Life Sciences,Male,Technician,1,Y,1,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8
12,38,3,Life Sciences,Male,Marketing Director,0,Y,10,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918
13,36,3,Medical,Male,Brand Representative,6,Y,17,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278
14,35,3,Medical,Male,Technician,0,Y,6,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61
15,29,2,Life Sciences,Female,Technician,0,Y,10,e629fa6598d732768f7c726b4b621285f9c3b85303900aa912017db7617d8bdb
16,31,1,Life Sciences,Male,Research Scientist,1,Y,5,b17ef6d19c7a5b1ee83b907c595526dcb1eb06db8227d650d5dda0a9f4ce8cd9
18,34,2,Medical,Male,Technician,0,Y,3,4ec9599fc203d176a301536c2e091a19bc852759b255bd6818810a42c5fed14a
19,28,3,Life Sciences,Male,Technician,5,Y,6,9400f1b21cb527d7fa3d3eabba93557a18ebe7a2ca4e471cfe5e4c5b4ca7f767
20,29,4,Life Sciences,Female,Marketing Director,1,Y,10,f5ca38f748a1d6eaf726b8a42fb575c3c71f1864a8143301782de13da2d9202b
21,32,2,Life Sciences,Male,Research Scientist,0,Y,7,6f4b6612125fb3a0daecd2799dfd6c9c299424fd920f9b308110a2c1fbd8f443
22,22,2,Medical,Male,Technician,1,Y,1,785f3ec7eb32f30b90cd0fcf3657d388b5ff4297f2f9716ff66e9b69c05ddd09
23,53,4,Life Sciences,Female,Manager,2,Y,31,535fa30d7e25dd8a49f1536779734ec8286108d115da5045d77f3b4185d8f790
24,38,3,Life Sciences,Male,Research Scientist,5,Y,6,c2356069e9d1e79ca924378153cfbbfb4d4416b1f99d41a2940bfdb66c5319db
26,24,2,Other,Female,Marketing Director,0,Y,5,5f9c4ab08cac7457e9111a30e4664920607ea2c115a1433d7be98e97e64244ca
27,36,4,Life Sciences,Male,Sales Representative,7,Y,10,670671cd97404156226e507973f2ab8330d3022ca96e0c93bdbdb320c41adcaf
28,34,4,Life Sciences,Female,Research Director,0,Y,13,59e19706d51d39f66711c2653cd7eb1291c94d9b55eb14bda74ce4dc636d015a
30,21,2,Life Sciences,Male,Research Scientist,1,Y,0,624b60c58c9d8bfb6ff1886c2fd605d2adeb6ea4da576068201b6c6958ce93f4
31,34,1,Medical,Male,Research Scientist,2,Y,8,eb1e33e8a81b697b75855af6bfcdbcbf7cbbde9f94962ceaec1ed8af21f5a50f
32,53,3,Other,Female,Manager,4,Y,26,e29c9c180c6279b0b02abd6a1801c7c04082cf486ec027aa13515e4f3884bb6b
33,32,1,Life Sciences,Female,Research Scientist,1,Y,10,c6f3ac57944a531490cd39902d0f777715fd005efac9a30622d5f5205e7f6894
35,42,4,Marketing,Male,Sales Executive,0,Y,10,9f14025af0065b30e47e23ebb3b491d39ae8ed17d33739e5ff3827ffb3634953
36,44,4,Medical,Female,Brand Representative,3,Y,24,76a50887d8f1c2e9301755428990ad81479ee21c25b43215cf524541e0503269
38,46,4,Marketing,Female,Manager,3,Y,22,aea92132c4cbeb263e6ac2bf6c183b5d81737f179f21efdc5863739672f0f470
39,33,3,Medical,Male,Technician,4,Y,7,0b918943df0962bc7a1824c0555a389347b4febdc7cf9d1254406d80ce44e3f9
40,44,4,Other,Male,Brand Representative,2,Y,9,d59eced1ded07f84c145592f65bdf854358e009c5cd705f5215bf18697fed103
41,30,2,Medical,Male,Technician,1,Y,10,3d914f9348c9cc0ff8a79716700b9fcd4d2f3e711608004eb8f138bcba7f14d9
42,39,3,Technical Degree,Male,Sales Representative,3,Y,19,73475cb40a568e8da8a045ced110137e159f890ac4da883b6b17dc651b3a8049
45,24,3,Medical,Male,Research Scientist,2,Y,6,811786ad1ae74adfdd20dd0372abaaebc6246e343aebd01da0bfc4c02bf0106c
46,43,2,Medical,Female,Research Scientist,1,Y,6,25fc0e7096fc653718202dc30b0c580b8ab87eac11a700cba03a7c021bc35b0c
47,50,2,Marketing,Male,Sales Representative,1,Y,3,31489056e0916d59fe3add79e63f095af3ffb81604691f21cad442a85c7be617
49,35,3,Marketing,Female,Sales Representative,1,Y,2,0e17daca5f3e175f448bacace3bc0da47d0655a74c8dd0dc497a3afbdad95f1f
