EmployeeNumber,Age,Education,EducationField,Gender,JobRole,NumCompaniesWorked,Over18,TotalWorkingYears,EmployeeNumber_HASH,hash_EmployeeNumberEducationField
1,41,2,Life Sciences,Female,Sales Executive,8,Y,8,6b86b273ff34fce19d6b804eff5a3f5747ada4eaa22f1d49c01e52ddb7875b4b,BFCF32A0DC74D5D8378E71E2849CD6A226BA529C5CF415292C95FCE8A8B132E1CA4F81ADACBC84A46F6CCC0808409D14B656E11C499C50E72540A68CA6D797D2
2,49,1,Life Sciences,Male,Research Scientist,1,Y,10,d4735e3a265e16eee03f59718b9b5d03019c07d8b6c51f90da3a666eec13ab35,43DDD34BAE4F0F76126CC9B1824F2CE79E080FB2F59099C39D6178D1D64933304581942956F74D27D01B6457073CDA8FCFA2FB8E29CF371F840E78185A46B426
4,37,2,Other,Male,Technician,6,Y,7,4b227777d4dd1fc61c6f884f48641d02b4d121d3fd328cb08b5531fcacdabf8a,D357FA5C55B8CC64AEA6CAE27EBF9EF09777D862E5D9CB4D2B8CDCB9A87D5B0F81AD93B8007484DE9951C9BF62A64731047BEA03C3AB6AB466A3FC58DFE1BF9D
5,33,4,Life Sciences,Female,Research Scientist,1,Y,8,ef2d127de37b942baad06145e54b0c619a1f22327b2ebbcfbec78f5564afe39d,CAAA3E35726CDEA234A29683F88109E12F59E3B4CD118F0104FB5349227C9D6D534BDD6E579DBA3E36C56F1D5D41DF0250646144DAE0CD1C8AA970E92C148E49
7,27,1,Medical,Male,Technician,9,Y,6,7902699be42c8a8e46fbbb4501726517e86b22c56a189f7625a6da49081b2451,9E8517CB6747F0BF8CA6DF67713F54EAD7D13A67D277B5D127858058D2D5EA35C4684242ACD553B63618D21CC63116890777A9A37B7D85DAC380F4B70D85B2BA
8,32,2,Life Sciences,Male,Technician,0,Y,8,2c624232cdd221771294dfbb310aca000a0df6ac8b66b696d90ef06fdefb64a3,103D6F8D137164362178D8353EB91B41222493AF20F2E5BC60A0CB6CCAE663E7B957E35B488BED76F5C90443BDCA23F6923CBC98F14F839A4A1FFA8FDC00231B
10,59,3,Medical,Female,Technician,4,Y,12,4a44dc15364204a80fe80e9039455cc1608281820fe2b24f1e5233ade6af1dd5,29D0AB882749CE69E0BF92052FC07B409227F97FDA0923EEEDCD61DBDC7E228F02797BDC15B8B7D6EE2577F9186CF81EE66C1C1010D398D697BAB904ECE3E16A
11,30,1,Life Sciences,Male,Technician,1,Y,1,4fc82b26aecb47d2868c4efbe3581732a3e7cbcc6c2efb32062c08170a05eeb8,E4600B3CE5E97F4D8CD314C16140D90C6D61F041DA315AF0F0C7818434CE12F183C542D16BB212EA05818EC5B8C8A1E3397994431F8750B0264D63068D0339D8
12,38,3,Life Sciences,Male,Marketing Director,0,Y,10,6b51d431df5d7f141cbececcf79edf3dd861c3b4069f0b11661a3eefacbba918,4796CC6A6E58D930F72C239D3B0B0B4A42DF5AF66D05EA7F3CBB3D70EBB0BD6B6F9001DE428E0FE2AB0E75ECBA8F669BCF10E0CDE5FDB4ED895933066E18402E
13,36,3,Medical,Male,Brand Representative,6,Y,17,3fdba35f04dc8c462986c992bcf875546257113072a909c162f7e470e581e278,F208D1D8E5360375D8CD5CB042A393C2FDF8D6B9A1E6FDEBCA0459C833A989094416DAFEDF78EC6BD6966B1337132155F5638C7CDD42F245912F02123B0CC799
14,35,3,Medical,Male,Technician,0,Y,6,8527a891e224136950ff32ca212b45bc93f69fbb801c3b1ebedac52775f99e61,A3DF5FF4DBBE4C0D9406639401ECE8C0B87D375E282F7C928ECC17CCBFFDB499344331C218016EBB3B1F5FE2B06033618FC38101741CF6710BF69E78201D4618
