EmployeeNumber,Age,Education,EducationField,Gender,JobRole,NumCompaniesWorked,Over18,TotalWorkingYears,uuid,EmployeeNumber_HASH
1,41,2,Life Sciences,Female,Sales Executive,8,Y,8,ce19a6d8-65d1-4865-8c9f-3cb0f6be7955,43290e09d118b69dd0b79f659bbc98bab417ed50ad61ead7195776cacf30e6683a84d698ea12ff3a58d91f01e9e0eae36342fe54393ccf7297ba888ba2ca4825
2,49,1,Life Sciences,Male,Research Scientist,1,Y,10,a8a572b0-fe5f-4564-a3c9-e62ab861b58e,f5366eff56390a2d6840e3ba418312142f25d0077f02e242ddf56a386a8b542005b63942c1559a6973d26993ebea3428b410842e1df1d0cb5b6c8b4f3601c866
4,37,2,Other,Male,Technician,6,Y,7,202665df-7b6f-4fbd-b3c0-81d908538da7,4295fdbb2253e11feecaf1cb46a91ab764b0ad2a2d40e25d3933ad400a130ef0a38caecc81a3eacfe1ddc9dfc625052f3978818db6b92814540e363126e7b2fb
5,33,4,Life Sciences,Female,Research Scientist,1,Y,8,7af129d8-6285-47a0-b04c-13e5d3bce5d6,61cf803e68704ca023db7232ed8568cbe4200b41797f4a7088c00cfe54df0c84630b0d7191a5ff2dd5428fa37c4912fd9dc5d702dca04c6880f8446645a6bab6
7,27,1,Medical,Male,Technician,9,Y,6,54b5cea7-a109-4650-a404-18fbe26f7d7a,79899ed74d42449dacf3026747fe56f620d45e495adf595c0c38bf366e1233b1acca4822dd9577136a504183739985af6d99c756e91c49a49c2fae19b5c4204d
8,32,2,Life Sciences,Male,Technician,0,Y,8,b9b76f0d-b523-4864-9be7-dd12d2c05c32,634946548efae64d27f2cc4b045d2bff9da273809799284464897883c03facd2eb5581d13bcabf50fe3c6c8f57a55a4b31615198125abb6741bd511da160fe2b
10,59,3,Medical,Female,Technician,4,Y,12,2583ea94-b159-4d0f-88f5-f2f8477a37fe,72350345428ef963468e31228690d85d57e191bb4ebb536b9048b83df834c10ff47b066f0dcb1e9fc25a3d2736c547d81c8443758f97d035ff87e8e498f260cb
11,30,1,Life Sciences,Male,Technician,1,Y,1,5ad36336-4be2-4190-b677-e39a40f5cc52,e60595acea7e202de5f6d220f9df7ab70d1c1dc3dd236735d6c3492adbd249d43f9950b7a680e6f303fa3d97e765980e33518028fbb468641f1b949f51cf952a
12,38,3,Life Sciences,Male,Marketing Director,0,Y,10,46a154b4-6a8e-4711-be5b-cfe2057bc524,cc2fda1cd3eb634835f85931251c7a614f024ebd02089c484c74b16cff9bcee2009f9a3d764919e9d4f519a07a69969936a10810e6e5553766e65eb6adf65a2f
13,36,3,Medical,Male,Brand Representative,6,Y,17,d0be7924-bda8-4014-8d52-ac160d271545,223a0bb525387f3406af3685c56bafb61df0995fc5f8e95c209beac444253aed959430c1ed4c10bd0f0059970d83f54091011d5e2e46eab8e1399dc2f43ef211
14,35,3,Medical,Male,Technician,0,Y,6,485419a7-dc22-40eb-8919-bfbd19ddf555,f6ab4fbc9ebc2e247adab4df1de1eac36d3b7af7693a1d1a08f9fa78ac9ceb638a0a8fd261bab1e678137eeebde22f9dc016bebe89867b9a9860e7edc438e4f4
15,29,2,Life Sciences,Female,Technician,0,Y,10,83de0402-4b5c-4be8-acba-da7c7698fb9f,4f2968b6d817e7c00d7bce400cd33bdf6d2edf29902a9be7d5a719b6b42ce917f687c6d73c2dec24e6c1e8b80cda9e29a72949499576f9d095024496ce882aea
16,31,1,Life Sciences,Male,Research Scientist,1,Y,5,45ecbcd1-f1f6-4c04-9b04-75a43478fad0,d68c504558fbcfd07cabb2dea8dda6616f26af542443fc9543a7451b65368709b9cf6bddea4ea2c15b320e9a8b639228370aed047ead16a9bb454e02496fdc27
18,34,2,Medical,Male,Technician,0,Y,3,0b736ee5-6303-40b4-a22c-e8742ccf0e71,a909aa2ccd6e0b440f35b675c1b8ce2b57fc01e15cf62703af5d3e186a3f7ab3c7a227e7048db0afd9ee36b58b1ae2f0facc76b93f1207335eacd6f5fe4b6637
19,28,3,Life Sciences,Male,Technician,5,Y,6,4ddac7e6-77f3-49f6-8629-a3757b38bc7f,cfc3b85731597cacbc5e9cfc233187cb02cac1c7e43d6f047b2bc38f3b11fab34382b89322410055ad3f026c6918280bae7a37b80b7d5e348f8c8ba2c0671c7a
20,29,4,Life Sciences,Female,Marketing Director,1,Y,10,4dd451c7-4218-4ed7-90de-2c3b741da1b8,9e17ab966297d6b20228113a3f75f02e796301bf8e57c87e847c117cbb724774c3a6ce6afebf6e7ae19c1f96ef182caa5cc8efd2dd2998d25a083d5b4fbf294a
21,32,2,Life Sciences,Male,Research Scientist,0,Y,7,5c9ebccd-deea-45f7-a3da-f286af2cf2da,7830a2fc348db7beb73e66e0951379199e9c6fe0d62d17f9f24a6d39bf79f341e4decf7823cf948c9b3adab12b589acbb649b1b95491d29f778c62cc5949db27
22,22,2,Medical,Male,Technician,1,Y,1,6da27258-39ea-4be6-823f-d8dc108cf33f,a60adbc959a8bf8920def4c7b30c31a8374789594f1cce74f931b6c18daf70ec8e5e5e8cb6d561e8f972d1caeb34a7497d76eb43ee70a203932d5337cfbf8aa1
23,53,4,Life Sciences,Female,Manager,2,Y,31,5e36233b-6d43-46df-8015-3d49e9fd7376,1a4c8b0fdf4976500551406bf27e7f6111dc1354aa2d091e6a9abd7c11ce2015991a6ec209e405c0c874ceeef272caa16d73cd1d494a7ac566b3f7f11214b23b
24,38,3,Life Sciences,Male,Research Scientist,5,Y,6,83830759-7854-4460-8063-3472c23f7ce2,b2f3eebb4f20e73479c7ca94f72ababa67763bda011dbdfdab2be84c6c8af17dcd4f1fc5b26734e2fb137624ff0008253c98b9525f7ad9ffa5ef73530295adac
26,24,2,Other,Female,Marketing Director,0,Y,5,8e3b8020-0561-490e-9c5c-a8c1b8681a36,da3dd1b1ac85ffa3314ef737a4ef680363af1dd38b83d141271542a8d54fbad22611f01f39f5a7a78dd9f149a8e9fb65028d24f681b471b9b2b845697f58285f
27,36,4,Life Sciences,Male,Sales Representative,7,Y,10,0ac88ae0-e5bf-46f6-b49d-f0b1b7be4b3c,867044324beb65db1ec71b2bbc842d099feb4721253da052a3149eb741a69cb15a7ef5d26dbd549d8ed68498c99b47ea6f8185a05deab20d01087eaf688992c2
28,34,4,Life Sciences,Female,Research Director,0,Y,13,75b95e03-088a-490d-b685-7184bc08ed59,63a27c13fb20c0689fea6d1af463edaaa67e6fdd648a341d02988944bdb6781b8c5b25b044a26faae7ceeebd2a2fccbc16c0a9f13a6dfa692af5051bbbedd686
30,21,2,Life Sciences,Male,Research Scientist,1,Y,0,0e6b5d2e-a9bb-4dc4-9c15-44ec33a0d679,f61a4bc58599b21086da6c4e3d2aae4928ee161a35255840e926057b1ffef84f4918f7c328c304a037f26cbfc357aa5c532e1d2235b9ad9cbe46a2ce687e1d95
31,34,1,Medical,Male,Research Scientist,2,Y,8,6bee3d8d-a31b-4cf6-9bf1-54eab89021a2,7bb3580f2e49121138afc4ea67d22a86f24024e32ea3776780148850ef07be9ea1b731e43fd87acea9fff311e8269c5ea3f567280a35001df067ab46d49640de
32,53,3,Other,Female,Manager,4,Y,26,d75135a3-4371-4b82-9404-9b441ffb27f5,f9ea23335d75a68c472c40830fe352b2b1b66df4c6a0834f6e9c0f92cf98b35ffc506946416f137950e7909b3117499e54625909ca93fee5fe39066218ae2923
33,32,1,Life Sciences,Female,Research Scientist,1,Y,10,f3f3a038-c413-4d9f-96f9-2e30835c4f7d,0790fe0a8617b088019d24c4a951cee0944a29000d80e750ac958fe14372d715ae683f559355c891670dcef9a7c69cabeaf80d9b753e613d78fddcaa8fddac98
35,42,4,Marketing,Male,Sales Executive,0,Y,10,1f85e2ab-82bc-4500-927c-c31e8d0c31a4,a7549a1a5a07de7bac3490e94f3a190e3d496e67e380dbb022e1753c8845c40990bfba3f04027cac7328bb322c0137268d481a01259c13bbe9ca72313862cf96
36,44,4,Medical,Female,Brand Representative,3,Y,24,d3ee8814-65f0-44f6-8819-fc4a94e6d50f,c6d211a21de274a1482c22cc3153e0f56b998791ef89dbb390a368f20f7b57513d39d4c962ec37276e6f0e0b2af864757fc31a7e277872c46c57f322de64bab0
38,46,4,Marketing,Female,Manager,3,Y,22,1327ed1d-c3d6-4d9f-abc7-aa84504a82f3,0932b251e58299ac45b08c4daf9b85b6011a2f5f2dc5cee37967ab2349c979429d3f8e0450761fa752adc3572e41f014a59cb72de4622f69ac77064c3a0da82a
39,33,3,Medical,Male,Technician,4,Y,7,f4a572e1-e5c7-4ec7-b64d-95ff23779a73,dbff101d16a1a6973bf159caf6b18be80c5fdc9596cc0039cc6905714c4c61b3db8b60087f0c0848112cb560b84eafeeb982280a24759cef74bf750823d0c6b8
40,44,4,Other,Male,Brand Representative,2,Y,9,3a30a064-f74e-4c3e-bc48-01f46598bd9c,b1f6ab7a47f7a573fa31d89a799381593f914a4ada0c857775940939919d9f505e1044e720c1875cc0283cf150581896254689e2306278847e0dd3855cd41a33
41,30,2,Medical,Male,Technician,1,Y,10,7b63b1af-90d9-4abf-807d-cca974f3850d,87f0c7974c1ad5685ee6825e6ca2692700d33e80a99ff0ed98f6dafc0d7616f2d996ce07afe8dcfcc2ea3ca667b86eb25233cc0909ecedea63fe846619839ad4
42,39,3,Technical Degree,Male,Sales Representative,3,Y,19,80299a17-40dd-4927-82ad-9b786bd20203,cf32c088ad902f512001d2cdb3fe7a4c8396179829ae1ccb82bd4e354bd511ca96f2e5edad97346a83c9369795cf0e7ae11f4967677f23c31a26cb7feeb7656f
45,24,3,Medical,Male,Research Scientist,2,Y,6,b950fe48-479d-4e6e-991e-8909017b7138,58b3ff9967587b44295201fdfffe14d000ed16f60bab0e0f56c32851a94a974c5c6a83a95e6a46558ae9acb41ba52c77068bd4003cca54fcea83ebde076f41d4
46,43,2,Medical,Female,Research Scientist,1,Y,6,9a7457e5-cc15-4aaf-bba7-0c957bf2de7e,7faa1dc6efc152ef35d4ffa6fb53a729d548837776a47f83107723af42e76220ee287b176c40d8ef3e0e992a6e70352a2821ba93cc702bcee3c8e320da55fa17
47,50,2,Marketing,Male,Sales Representative,1,Y,3,48c62166-6609-4ea4-bb63-b331babe741e,8d4bd01905ac305cf6d8f207653e083943adab05aba6e7aa037948d5e2181b3ddd3161ba53d2e511cba7b65ceef8edee4ebc9bbb84a6eb1d7ef9b8c7ff3e9468
49,35,3,Marketing,Female,Sales Representative,1,Y,2,5ad9e212-651c-45b5-8a22-ca8214d540f2,7bb70f7451fbdff18673d2b6678d95baef91012dd4f83bbc0e7413067f60e80beab47636bf275ffaa6abe588b6676235c80272292bf30c3fcc255cda586499a5
51,36,4,Life Sciences,Female,Research Scientist,9,Y,6,3e4d18c6-8ec5-4f5f-837d-b449fc298cbb,2a740d146c54f0c132b58e6600aa1fee70c02cf6c0202f2c81f888b7ad7ace9041101e758017539f6d43e2e1fa61edddc4e5a2cba492c253691badb39eaddedf
52,33,3,Life Sciences,Female,Sales Executive,2,Y,10,a6b23fac-5c28-491d-87f2-c25e79320431,c5313b01c805eb384a39b40e651e805a631501dbf426a8b455112341bf40ab34482a30d7cb837bb32955061a1ddf7ee99532eae843b616205d1f5039521699de
53,35,2,Other,Male,Technician,1,Y,1,4d1242ed-4798-466a-a4a4-8fb4e0970f03,b1366f49da7d166179a26448b2717db9536383a9a60ddc78ac99e2ad3c5b16a6963675c0711d4a8fe022f2e856a17f68c48a763d1bbebb852de96f21e1a394bb
54,27,4,Life Sciences,Female,Technician,1,Y,1,e69e7808-1b8b-487f-925c-e8f4fca42889,08134414db183c7b9d857c9d29ac2a5ad710d816f8a01ceb576e864cd2cff04b6d1cd850dbe38ccc078eb38891b2fe2aea4df3f912d65eb0d2b2a4af10f7b730
55,26,3,Life Sciences,Male,Technician,1,Y,1,efce112b-1761-4492-a21c-7d56e3c5e3f7,103a3ad9b5502337eed4ba775e530b38d7a01f079a5f395c9d618cca83bde08209d7075bbacca907cfd0681b11b64a7252206d5c3d324bac9182746740537fe1
56,27,3,Life Sciences,Male,Sales Executive,1,Y,9,85c272ec-a362-4cfe-9058-0e6c9a3d0f3d,ad472e14eafb1918c25399aeb39cf766963df31bdd49cef1ce80fdb6bd4af940334ada4bad75f9b76782cd23cbbc9569bb1f67f799c81005a3d6805b951b905c
